sample_id,timestamp,front_shock [mm],front_shock_raw [counts],String pot [mm],String pot_raw [counts],mark
81,07:13:28.895,104.614815,1849.000000,60.111557,3481.000000,0
82,07:13:28.897,104.686417,1848.000000,59.820976,3496.000000,0
83,07:13:28.899,104.686417,1848.000000,59.452908,3515.000000,0
84,07:13:28.901,104.829628,1846.000000,59.123581,3532.000000,0
85,07:13:28.903,104.686417,1848.000000,58.755512,3551.000000,0
86,07:13:28.905,104.686417,1848.000000,58.329327,3573.000000,0
87,07:13:28.907,104.758026,1847.000000,57.670673,3607.000000,0
88,07:13:28.909,104.758026,1847.000000,57.321976,3625.000000,0
89,07:13:28.911,104.758026,1847.000000,56.740814,3655.000000,0
90,07:13:28.913,104.686417,1848.000000,56.179024,3684.000000,0
91,07:13:28.915,104.758026,1847.000000,55.694721,3709.000000,0
92,07:13:28.917,104.758026,1847.000000,55.132931,3738.000000,0
93,07:13:28.919,104.758026,1847.000000,54.261189,3783.000000,0
94,07:13:28.921,104.758026,1847.000000,53.718769,3811.000000,0
95,07:13:28.923,104.758026,1847.000000,53.002003,3848.000000,0
96,07:13:28.925,104.758026,1847.000000,52.072144,3896.000000,0
97,07:13:28.927,104.758026,1847.000000,51.432865,3929.000000,0
98,07:13:28.929,104.686417,1848.000000,50.522377,3976.000000,0
99,07:13:28.931,104.758026,1847.000000,49.515030,4028.000000,0
100,07:13:28.933,104.758026,1847.000000,48.682030,4071.000000,0
101,07:13:28.935,104.758026,1847.000000,48.217102,4095.000000,0
102,07:13:28.937,104.758026,1847.000000,48.217102,4095.000000,0
103,07:13:28.939,104.758026,1847.000000,48.217102,4095.000000,0
104,07:13:28.941,104.758026,1847.000000,48.217102,4095.000000,0
105,07:13:28.943,104.758026,1847.000000,48.217102,4095.000000,0
106,07:13:28.945,104.614815,1849.000000,48.217102,4095.000000,0
107,07:13:28.947,104.758026,1847.000000,47.635937,29.000000,0
108,07:13:28.949,104.686417,1848.000000,47.035404,60.000000,0
109,07:13:28.951,104.758026,1847.000000,46.473614,89.000000,0
110,07:13:28.953,104.758026,1847.000000,45.892452,119.000000,0
111,07:13:28.955,104.758026,1847.000000,45.195057,155.000000,0
112,07:13:28.957,104.758026,1847.000000,44.613895,185.000000,0
113,07:13:28.959,104.758026,1847.000000,43.955242,219.000000,0
114,07:13:28.961,104.758026,1847.000000,43.335339,251.000000,0
115,07:13:28.963,104.758026,1847.000000,42.637943,287.000000,0
116,07:13:28.965,104.686417,1848.000000,41.901802,325.000000,0
117,07:13:28.967,104.758026,1847.000000,41.243153,359.000000,0
118,07:13:28.969,104.686417,1848.000000,40.526386,396.000000,0
119,07:13:28.971,104.758026,1847.000000,39.887108,429.000000,0
120,07:13:28.973,104.758026,1847.000000,39.054108,472.000000,0
121,07:13:28.975,104.758026,1847.000000,38.376087,507.000000,0
122,07:13:28.977,104.758026,1847.000000,37.523716,551.000000,0
123,07:13:28.979,104.758026,1847.000000,36.671341,595.000000,0
124,07:13:28.981,104.758026,1847.000000,35.935204,633.000000,0
125,07:13:28.983,104.758026,1847.000000,35.044086,679.000000,0
126,07:13:28.985,104.758026,1847.000000,34.249832,720.000000,0
127,07:13:28.987,104.686417,1848.000000,33.397461,764.000000,0
128,07:13:28.989,104.686417,1848.000000,32.525719,809.000000,0
129,07:13:28.991,104.758026,1847.000000,31.615231,856.000000,0
130,07:13:28.993,104.758026,1847.000000,30.724115,902.000000,0
131,07:13:28.995,104.758026,1847.000000,29.929859,943.000000,0
132,07:13:28.997,104.758026,1847.000000,29.019373,990.000000,0
133,07:13:28.999,104.758026,1847.000000,28.108885,1037.000000,0
134,07:13:29.001,104.758026,1847.000000,27.237141,1082.000000,0
135,07:13:29.003,104.758026,1847.000000,26.346025,1128.000000,0
136,07:13:29.005,104.614815,1849.000000,25.474281,1173.000000,0
137,07:13:29.007,104.686417,1848.000000,24.544422,1221.000000,0
138,07:13:29.009,104.758026,1847.000000,23.672678,1266.000000,0
139,07:13:29.011,104.758026,1847.000000,22.800936,1311.000000,0
140,07:13:29.013,104.758026,1847.000000,21.832331,1361.000000,0
141,07:13:29.015,104.758026,1847.000000,20.960588,1406.000000,0
142,07:13:29.017,104.758026,1847.000000,19.933868,1459.000000,0
143,07:13:29.019,104.758026,1847.000000,19.004007,1507.000000,0
144,07:13:29.021,104.758026,1847.000000,17.957916,1561.000000,0
145,07:13:29.023,104.758026,1847.000000,16.989311,1611.000000,0
146,07:13:29.025,104.686417,1848.000000,16.020708,1661.000000,0
147,07:13:29.027,104.686417,1848.000000,14.935872,1717.000000,0
148,07:13:29.029,104.758026,1847.000000,13.909152,1770.000000,0
149,07:13:29.031,104.758026,1847.000000,12.804943,1827.000000,0
150,07:13:29.033,104.758026,1847.000000,11.816967,1878.000000,0
151,07:13:29.035,104.758026,1847.000000,10.732131,1934.000000,0
152,07:13:29.037,104.758026,1847.000000,9.782899,1983.000000,0
153,07:13:29.039,104.758026,1847.000000,8.736807,2037.000000,0
154,07:13:29.041,104.758026,1847.000000,7.690715,2091.000000,0
155,07:13:29.043,104.758026,1847.000000,6.683367,2143.000000,0
156,07:13:29.045,104.758026,1847.000000,5.637275,2197.000000,0
157,07:13:29.047,104.758026,1847.000000,4.668671,2247.000000,0
158,07:13:29.049,104.758026,1847.000000,3.738811,2295.000000,0
159,07:13:29.051,104.758026,1847.000000,2.731463,2347.000000,0
160,07:13:29.053,104.758026,1847.000000,1.762859,2397.000000,0
161,07:13:29.055,104.758026,1847.000000,0.678023,2453.000000,0
162,07:13:29.057,104.758026,1847.000000,-0.290581,2503.000000,0
163,07:13:29.059,104.686417,1848.000000,-1.297929,2555.000000,0
164,07:13:29.061,104.758026,1847.000000,-2.460254,2615.000000,0
165,07:13:29.063,104.758026,1847.000000,-3.506346,2669.000000,0
166,07:13:29.065,104.758026,1847.000000,-4.649299,2728.000000,0
167,07:13:29.067,104.758026,1847.000000,-5.714763,2783.000000,0
168,07:13:29.069,104.758026,1847.000000,-6.915832,2845.000000,0
169,07:13:29.071,104.758026,1847.000000,-8.136272,2908.000000,0
170,07:13:29.073,104.758026,1847.000000,-9.317969,2969.000000,0
171,07:13:29.075,104.686417,1848.000000,-10.557782,3033.000000,0
172,07:13:29.077,104.686417,1848.000000,-11.758851,3095.000000,0
173,07:13:29.079,104.758026,1847.000000,-13.114897,3165.000000,0
174,07:13:29.081,104.686417,1848.000000,-14.393454,3231.000000,0
175,07:13:29.083,104.758026,1847.000000,-15.788243,3303.000000,0
176,07:13:29.085,104.686417,1848.000000,-17.163660,3374.000000,0
