front_shock [mm],front_shock [mm]_vel,front_shock [mm]_acc,rear_shock [mm],rear_shock [mm]_vel,rear_shock [mm]_acc,t
1.33977,265.7515485,1773.173869,4.56353,315.7730814,3738.38035,137.404
46.941578,-14.61740851,-5554.326946,55.10429,80.99945181,-3187.359301,137.404
18.210951,126.0866183,-6064.417786,27.171635,245.8691081,-7617.320606,137.404
46.693474,-693.2334431,-2021.858438,55.426273,-703.7744108,-3644.144732,137.406
1.240528,-251.327898,7174.820186,4.323344,-293.469477,6260.083869,137.406
18.111708,-219.3402188,-6806.999604,27.236855,-226.9870437,-8492.100746,137.406
18.161329,-52.30848145,18688.30904,27.236855,-52.77922512,20213.91107,137.408
0.992422,146.9914866,6826.664219,3.903019,193.77199,7491.953613,137.408
46.098019,311.7754648,16253.52005,56.606869,325.4136258,17202.4679,137.408
18.111708,331.8581465,-11447.5573,27.236855,354.4490629,-13731.22776,137.41
0.248106,255.5632639,-8184.593613,4.623577,281.3755005,-7920.592844,137.41
45.949158,110.479306,-15276.13438,56.714199,143.5484956,-17318.96268,137.41
18.062088,-508.187542,-1623.964918,24.693356,-602.0724447,-2527.216387,137.411
45.899536,-39.57065715,7598.160886,56.928852,-65.95358632,9560.687296,137.412
1.488634,-385.3030255,6147.698625,5.344134,-416.0333592,8335.895198,137.412
18.012466,-112.4591162,792.3189977,27.106419,-112.3021794,1579.245152,137.412
0.942801,575.6435611,3076.741259,4.023112,702.8255139,2870.519767,137.414
45.800293,124.7178909,4607.015198,56.875187,160.5425411,4885.889324,137.414
18.062088,400.4004391,2407.029138,27.171635,460.4972339,2870.060746,137.414
45.204842,21.48226818,-19910.90841,56.928852,44.71036702,-23783.2172,137.416
18.111708,-378.0795885,-5473.360047,27.106419,-498.2372144,-1885.217925,137.416
1.190907,-605.2138069,4372.210466,4.443437,-657.1511506,6333.936457,137.416
44.807873,232.8722601,6116.467925,57.14249,398.8729093,6228.79965,137.418
18.012466,95.9573116,-1185.586107,27.236855,233.6725152,-2343.237413,137.418
0.843559,347.59751,-2545.829464,4.023112,486.5874176,-6044.939767,137.418
34.93327,-191.9897801,-8758.302238,58.510807,-226.0661282,-12649.90445,137.419
44.361282,-600.4531431,3504.707459,57.195118,-797.8691731,1711.25683,137.42
1.042044,-131.3648981,19652.97054,4.443437,-207.3597961,18568.02009,137.42
18.062088,60.75112416,3194.720326,27.236855,-83.0364966,2910.13324,137.42
1.190907,35.63404029,6698.273403,4.503484,-120.6582958,10078.49429,137.422
18.111708,829.0698047,2686.944522,27.171635,1014.650813,7942.009441,137.422
43.666584,709.5396108,-4428.88662,57.247742,796.1263402,-3786.791026,137.422
40.590076,103.3812044,-25409.71396,43.07505,123.9078915,-29496.96946,137.423
18.161329,-542.6591525,-7548.424988,27.236855,-621.9211233,-6542.490862,137.424
43.120754,-857.4766414,57.83296037,57.510883,-984.8694528,2475.907086,137.424
1.488634,-306.7342964,6833.602704,3.72288,-255.8624979,9821.939487,137.424
18.111708,353.6998523,5683.873497,27.36729,534.8035969,5203.332564,137.426
0.645075,404.7620022,-3127.633753,3.182462,481.0292309,-8349.594103,137.426
42.426056,-12.47178827,-5030.355408,57.510883,6.334528691,-6396.199674,137.426
41.731361,-208.9243698,9115.71289,57.826649,-279.5702712,11695.53161,137.428
18.062088,-426.0418157,-4484.407483,27.171635,-536.8556066,-6621.16373,137.428
0.694696,-146.0969805,-5001.438951,3.602787,-165.9885327,-7321.401142,137.428
1.042044,-382.9202332,6553.689021,4.023112,-534.9008489,8658.341445,137.43
18.111708,361.9758436,16475.59886,27.106419,447.2368824,21792.34904,137.43
41.036667,649.1392705,1568.443543,57.774021,856.4897858,2224.576084,137.43
18.161329,43.6392089,-1470.126876,24.889009,45.76955767,-439.7889277,137.431
1.488634,-156.262196,-9113.398392,3.242508,-182.6449125,-11272.94345,137.432
40.143486,-189.4499254,-6283.028508,57.879276,-204.0873217,-8011.988741,137.432
18.111708,-106.8647068,8668.081166,27.106419,-108.608593,12679.10797,137.432
1.141286,425.3835155,1844.888252,3.54274,636.7549834,1397.805035,137.434
39.200684,79.74851014,-6978.187203,57.984528,121.3505133,-11253.01445,137.434
18.062088,-267.892344,-272.9741725,27.171635,-393.0846383,-193.8482517,137.434
18.111708,262.2034667,193.1637762,27.236855,368.8329832,233.0800233,137.436
38.555611,-209.8853934,-661.6152914,58.037159,-317.6959953,785.7283683,137.436
1.290149,-212.2922306,-3230.577692,2.521951,-250.6618582,-4156.921352,137.436
18.161329,50.09244761,12176.25949,27.171635,111.7758724,18427.96804,137.438
38.009777,236.0608104,-5203.855315,58.037159,411.9861224,-8312.423357,137.438
1.488634,31.48359192,2729.73965,4.263298,76.78730113,3893.572844,137.438
35.92569,223.2237307,1667.917459,58.037159,371.9781512,1231.787786,137.439
18.210951,-21.46489744,-15477.39406,27.171635,-27.10718011,-24423.56527,137.44
36.421902,-265.8633809,3106.814079,58.037159,-308.8398053,-3322.265991,137.44
1.042044,79.73500336,-1704.930862,2.401858,-17.91040808,-5668.138345,137.44
36.273037,-302.4247239,-7071.876667,57.984528,-660.115899,-10422.59322,137.442
18.012466,-174.5857508,11442.93049,27.236855,-469.8956348,20974.94338,137.442
1.488634,61.34203945,-1222.599464,4.023112,-40.26759724,1731.805641,137.442
40.937424,5.878779604,8958.404918,43.446796,2.640690249,19278.91559,137.443
1.439012,-57.28116012,-1591.577459,3.782926,40.5538135,1505.705874,137.444
18.062088,385.3444002,-892.9491142,27.171635,798.6462224,1554.037016,137.444
36.273037,-96.22044683,25.44652681,58.037159,36.93660208,570.6047786,137.444
1.935224,-126.3565,-3153.080793,3.122415,-62.34593904,-7760.424872,137.446
36.322659,264.9640461,-1755.82373,58.037159,288.7563812,-10019.18769,137.446
18.161329,-249.1022701,-9193.208298,27.236855,-380.1097577,-14612.27135,137.446
1.042044,-294.3097135,7321.718205,2.642044,-486.4304458,11094.35737,137.448
36.273037,45.24217216,7960.198928,58.037159,86.05222519,11585.3989,137.448
18.111708,-156.941711,5324.149744,27.106419,-271.2257982,7695.381212,137.448
1.042044,490.7305244,2485.682378,2.401858,718.0452329,4685.846434,137.45
18.062088,216.530452,-5855.060886,27.302074,299.7085289,-9027.186387,137.45
36.471523,-138.0253551,-648.8917949,57.774021,-209.8620106,-636.9090443,137.45
18.111708,237.3080701,3990.509161,24.823792,376.9561179,6643.85648,137.451
37.265461,123.8995289,-12169.31923,57.72139,174.6749234,-18651.92145,137.452
1.389391,-300.370659,-11595.61117,3.782926,-455.5585167,-17586.1831,137.452
