front_shock [mm],front_shock [mm]_vel,front_shock [mm]_acc,front_shock [mm]_norm,rear_shock [mm],rear_shock [mm]_vel,rear_shock [mm]_acc,rear_shock [mm]_norm,t
22.230261,53.717652641803284,-874.4416783216184,0.1307662411764706,29.424204,79.11441756021827,-788.9599999999155,0.17832850909090908,144.216
22.081398,36.56041546231626,-976.2271328670686,0.12989057647058824,29.424204,66.77125213675299,-443.45808857801967,0.17832850909090908,144.218
22.329504,26.385607886558603,-226.70741258735325,0.13135002352941177,29.424204,56.7749273504283,490.85463869473097,0.17832850909090908,144.22
22.379126,34.47261604506696,624.5991608392305,0.13164191764705882,29.872948,62.53125205905292,1849.1213053613938,0.1810481696969697,144.222
22.776094,62.753173853924636,1846.0433566434149,0.13397702352941177,30.566706,115.77411554001634,4050.070955711033,0.18525276363636364,144.224
23.173063,68.49599226884305,1804.4027972028634,0.13631213529411765,31.257952,137.14669059829157,3478.197855477949,0.18944213333333332,144.226
23.421169,72.77760617715694,1161.2952913753506,0.13777158235294118,31.697838,150.8377202797211,2087.320279720341,0.19210810909090908,144.228
23.917379,79.06026386946485,860.5623310024002,0.14069046470588237,32.57761,151.62467152292237,978.7779953380923,0.19744006060606062,144.23
24.165485,79.39764677544775,467.2954778555413,0.14214991176470587,33.457378,152.34383877233938,705.4628438229556,0.20277198787878786,144.232
24.512833,84.29805773115862,430.28102564109395,0.14419313529411765,34.085789,160.5638096736604,41.01622377633976,0.2065805393939394,144.234
25.207529,88.46785023310088,124.92102564108063,0.14827958235294117,35.0284,156.43057311577388,-386.71953379943807,0.2122933333333333,144.236
25.505255,87.21480625485674,-365.5075058274342,0.15003091176470587,35.593967,144.3945608391619,-644.524568764482,0.2157210121212121,144.238
25.902224,82.0714407148414,-268.3463869463176,0.15236602352941175,36.410896,144.5287900932409,-609.3649417248162,0.22067209696969697,144.24
26.348814,74.97723119658235,-444.15944055937325,0.15499302352941177,37.290665,143.39229071484147,-640.5641025639816,0.2260040303030303,144.242
26.745783,71.3298952602961,-212.82564102557626,0.15732813529411765,37.667713,139.26756134421265,-989.9494638693468,0.2282891696969697,144.244
27.04351,75.69440248640342,314.6164102564853,0.1590794705882353,38.484638,132.97662140637243,-548.4685314684466,0.2332402303030303,144.246
27.341236,76.98794459984532,272.9753846154581,0.1608308,39.301571,125.98245038850104,-514.2317948716882,0.2381913393939394,144.248
27.88707,78.61308193473292,587.5884382285221,0.16404158823529413,39.804298,125.93611076146163,-111.54890442878241,0.2412381696969697,144.25
28.234417,84.12077078477199,823.5462937063548,0.16608480588235294,40.422966,129.6797943278953,-1.6194871793595667,0.24498767272727273,144.252
28.681007,91.35184673659762,615.3461072261853,0.16871180588235296,40.914379,123.78612599067657,-54.206433566316264,0.2479659333333333,144.254
29.127598,91.70075489510583,476.5456410257102,0.1713388117647059,41.774345,128.78490687645797,384.91636363649013,0.2531778484848485,144.256
29.524567,94.37070291375403,180.43841491848798,0.17367392352941177,42.388611,133.05777268842326,811.7483449884676,0.25690067272727274,144.258
30.12002,97.80602614607704,111.04037296044771,0.1771765882352941,43.064301,134.2680755633271,812.8620979021944,0.2609957636363636,144.26
30.61623,96.20209421134507,-231.33435897427262,0.1800954705882353,43.617138,139.72474199689339,710.1972027973206,0.2643462909090909,144.262
30.963579,91.21876542346627,-148.05109557102332,0.1821387,44.41568,141.43103080808226,778.9292307693431,0.2691859393939394,144.264
31.559032,91.30558127428213,-448.7849883449235,0.18564136470588236,45.09137,149.73096697746848,1225.6620046621101,0.2732810303030303,144.266
31.90638,85.18877365967455,-263.721491841392,0.1876845882352941,45.95134,157.7362803030319,1007.8752447553816,0.2784929696969697,144.268
32.35297,84.38291631701708,282.2258275059103,0.19031158823529412,46.749886,163.1032883449899,767.4097902099311,0.2833326424242424,144.27
32.749939,89.93683041958116,185.06284382293234,0.19264669999999998,47.425571,166.91904693084882,100.58414918427661,0.287427703030303,144.272
33.345394,91.53687358197453,13.876643356707064,0.19614937647058822,48.34697,167.54741161616334,-188.9382750581135,0.2930119393939394,144.274
33.543877,93.5956801864811,208.19953379960498,0.19731692352941177,49.268364,161.12647331002472,-291.69118881101895,0.29859614545454544,144.276
34.18895,91.21870920746034,194.3229836830833,0.20111147058823528,50.005375,160.43393574203765,-450.67515151502084,0.3030628787878788,144.278
34.784405,93.33352043512099,60.15160839170494,0.20461414705882353,50.849068,155.17404879565117,-557.7693240092121,0.3081761696969697,144.28
35.032509,92.87091689976768,-4.6194871793813945,0.20607358235294115,51.451706,148.32350334110515,-550.7361305360027,0.31182852121212123,144.282
35.479099,93.72891767676879,97.16363636372625,0.20870058235294117,52.235138,148.7719432012451,-242.54974358959953,0.3165765939393939,144.284
36.024933,18.452859945610953,8466.817715617828,0.21191137058823528,53.139091,12.87542463092609,16532.14312354328,0.322055096969697,144.286
36.570766,98.36515652680725,11538.928391608488,0.21512215294117645,53.74173,153.93686845376988,22427.606526806656,0.3257074545454545,144.288
36.918114,227.52458690753792,10141.67365967374,0.21716537647058826,54.525154,399.9952124708648,20273.671888112087,0.3304554787878788,144.29
37.414326,333.45612956488026,5686.183403263498,0.22008427058823532,55.30859,617.6941740093259,12422.08727272744,0.33520357575757576,144.292
37.910534,384.39006748251825,282.2248951050133,0.22300314117647058,56.03175,733.3665777777799,1751.426759906979,0.33958636363636363,144.294
44.510143,365.4881988733505,-5246.650722610597,0.26182437058823527,68.617371,705.6241648018663,-9417.729324009153,0.4158628545454546,144.296
44.510143,279.19299020979145,-10044.512540792392,0.26182437058823527,68.85321,537.8934618104136,-19356.98965034949,0.41729218181818184,144.298
44.559765,145.8464383838401,-13010.215664335527,0.26211626470588234,69.030106,281.5985579642588,-25052.28643356623,0.4183642787878788,144.3
44.659008,17.93230932401127,-12963.95151515141,0.26270004705882355,69.206985,27.473774708625683,-25247.762424242195,0.41943627272727274,144.302
