Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,10nF,C57112
"C6, C7",0603,2,2.2uF,C342978
C8,0603,1,100nF,C91183
"D1, D2",D_SOD-323,2,BAT60A,C442418
"R1, R10, R12, R3, R4, R6, R7, R9",0603,8,10K,C25804
"R11, R2, R5, R8",0603,4,68R,C27592
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP6004,C7378
U3,SOT-23-5,1,TPS7A2033PDBVR,C2862740
