sample_id,timestamp,front_shock [mm],front_shock_raw [counts],String pot [mm],String pot_raw [counts],mark
0,07:12:28.367,104.686417,1848.000000,-30.046093,2431.000000,0
1,07:12:28.369,104.614815,1849.000000,0.987976,2437.000000,0
2,07:12:28.371,104.758026,1847.000000,0.968604,2438.000000,0
3,07:12:28.373,104.758026,1847.000000,0.968604,2438.000000,0
4,07:12:28.375,104.686417,1848.000000,0.949232,2439.000000,0
5,07:12:28.377,104.614815,1849.000000,0.949232,2439.000000,0
6,07:12:28.379,104.686417,1848.000000,0.949232,2439.000000,0
7,07:12:28.381,104.614815,1849.000000,0.949232,2439.000000,0
8,07:12:28.383,104.686417,1848.000000,0.949232,2439.000000,0
9,07:12:28.385,104.758026,1847.000000,0.929860,2440.000000,0
10,07:12:28.387,104.614815,1849.000000,0.929860,2440.000000,0
11,07:12:28.389,104.686417,1848.000000,0.949232,2439.000000,0
12,07:12:28.391,104.614815,1849.000000,0.949232,2439.000000,0
13,07:12:28.393,104.614815,1849.000000,0.949232,2439.000000,0
14,07:12:28.395,104.686417,1848.000000,1.142953,2429.000000,0
15,07:12:28.397,104.686417,1848.000000,1.104208,2431.000000,0
16,07:12:28.399,104.686417,1848.000000,1.123580,2430.000000,0
17,07:12:28.401,104.614815,1849.000000,1.142953,2429.000000,0
18,07:12:28.403,104.686417,1848.000000,1.123580,2430.000000,0
19,07:12:28.405,104.614815,1849.000000,0.987976,2437.000000,0
20,07:12:28.407,104.686417,1848.000000,0.968604,2438.000000,0
21,07:12:28.409,104.614815,1849.000000,0.987976,2437.000000,0
22,07:12:28.411,104.614815,1849.000000,0.949232,2439.000000,0
23,07:12:28.413,104.614815,1849.000000,0.968604,2438.000000,0
24,07:12:28.415,104.614815,1849.000000,0.987976,2437.000000,0
25,07:12:28.417,104.614815,1849.000000,0.987976,2437.000000,0
26,07:12:28.419,104.686417,1848.000000,0.949232,2439.000000,0
27,07:12:28.421,104.614815,1849.000000,0.987976,2437.000000,0
28,07:12:28.423,104.614815,1849.000000,0.949232,2439.000000,0
29,07:12:28.425,104.614815,1849.000000,0.987976,2437.000000,0
30,07:12:28.427,104.614815,1849.000000,0.949232,2439.000000,0
31,07:12:28.429,104.614815,1849.000000,1.104208,2431.000000,0
32,07:12:28.431,104.614815,1849.000000,0.968604,2438.000000,0
33,07:12:28.433,104.614815,1849.000000,0.987976,2437.000000,0
