sample_id,timestamp,i2c_stringpot_raw [counts],i2c_stringpot [mm],mark
0,00:50:30.093,2577.000000,-0.256823,0
1,00:50:30.095,2632.000000,-16.558949,0
2,00:50:30.097,2665.000000,-16.962528,0
3,00:50:30.099,2667.000000,-16.986988,0
4,00:50:30.101,2631.000000,-16.546721,0
5,00:50:30.103,2561.000000,-15.690644,0
6,00:50:30.105,2456.000000,-14.406530,0
7,00:50:30.107,2303.000000,-12.535394,0
8,00:50:30.109,2081.000000,-9.820411,0
9,00:50:30.111,1883.000000,-7.398940,0
10,00:50:30.113,1661.000000,-4.683957,0
11,00:50:30.115,1394.000000,-1.418640,0
12,00:50:30.117,1068.000000,2.568227,0
13,00:50:30.119,742.000000,6.555094,0
14,00:50:30.121,393.000000,10.823242,0
15,00:50:30.123,4094.000000,15.653955,0
16,00:50:30.125,3726.000000,20.154467,0
17,00:50:30.127,3341.000000,24.862883,0
18,00:50:30.129,2927.000000,29.925959,0
19,00:50:30.131,2564.000000,34.365322,0
20,00:50:30.133,2130.000000,39.672993,0
21,00:50:30.135,1802.000000,43.684319,0
22,00:50:30.137,1447.000000,48.025845,0
23,00:50:30.139,1120.000000,52.024940,0
24,00:50:30.141,797.000000,55.975121,0
25,00:50:30.143,533.000000,59.203747,0
26,00:50:30.145,297.000000,62.089947,0
27,00:50:30.147,89.000000,64.633713,0
28,00:50:30.149,4039.000000,66.419243,0
29,00:50:30.151,3943.000000,67.593292,0
30,00:50:30.153,3893.000000,68.204773,0
31,00:50:30.155,3896.000000,68.168083,0
32,00:50:30.157,3953.000000,67.470993,0
33,00:50:30.159,4058.000000,66.186882,0
34,00:50:30.161,118.000000,64.279053,0
35,00:50:30.163,339.000000,61.576302,0
36,00:50:30.165,581.000000,58.616722,0
37,00:50:30.167,847.000000,55.363636,0
38,00:50:30.169,1166.000000,51.462376,0
39,00:50:30.171,1493.000000,47.463280,0
40,00:50:30.173,1858.000000,42.999458,0
41,00:50:30.175,2227.000000,38.486717,0
42,00:50:30.177,2592.000000,34.022892,0
43,00:50:30.179,2972.000000,29.375626,0
44,00:50:30.181,3353.000000,24.716127,0
45,00:50:30.183,3734.000000,20.056629,0
46,00:50:30.185,34.000000,15.213688,0
47,00:50:30.187,412.000000,10.590879,0
48,00:50:30.189,754.000000,6.408338,0
49,00:50:30.191,949.000000,4.023556,0
50,00:50:30.193,1394.000000,-1.418640,0
51,00:50:30.195,1677.000000,-4.879632,0
52,00:50:30.197,1919.000000,-7.839207,0
53,00:50:30.199,2133.000000,-10.456353,0
54,00:50:30.201,2326.000000,-12.816676,0
55,00:50:30.203,2466.000000,-14.528827,0
56,00:50:30.205,2567.000000,-15.764022,0
