0,1514,747
1,1514,745
2,1516,744
3,1514,743
4,1516,743
5,1515,743
6,1515,743
7,1515,741
8,1514,741
9,1516,741
10,1515,741
11,1516,741
12,1515,739
13,1514,740
14,1514,741
15,1515,740
16,1514,740
17,1515,739
18,1515,738
19,1514,735
20,1516,739
21,1515,735
22,1516,733
23,1515,733
24,1516,733
25,1516,733
26,1515,733
27,1515,733
28,1516,733
29,1516,731
30,1516,730
31,1516,730
32,1514,729
33,1515,729
34,1515,729
35,1516,727
36,1515,728
37,1515,728
38,1515,725
39,1515,727
40,1516,725
41,1514,727
42,1514,726
43,1516,726
44,1514,726
45,1515,724
46,1515,723
47,1516,723
48,1515,723
49,1515,723
50,1515,719
51,1514,721
52,1516,722
53,1515,719
54,1514,717
55,1515,717
56,1516,717
57,1515,717
58,1515,716
59,1516,715
60,1514,715
61,1516,715
62,1514,713
63,1515,714
64,1516,713
65,1516,715
66,1516,713
67,1515,711
68,1516,711
69,1516,711
70,1516,710
71,1514,711
72,1515,710
73,1516,710
74,1516,709
75,1516,711
76,1516,711
77,1516,703
78,1515,704
79,1516,703
80,1516,701
81,1516,702
82,1516,701
83,1516,701
84,1516,701
85,1516,701
86,1516,700
87,1516,699
88,1516,699
89,1516,699
90,1516,700
91,1515,699
92,1516,699
93,1516,699
94,1516,699
95,1516,699
96,1516,698
97,1514,697
98,1516,697
99,1516,698
100,1516,696
101,1515,697
102,1516,697
103,1516,696
104,1515,697
105,1514,695
106,1516,697
107,1514,696
108,1515,695
109,1515,696
110,1516,695
111,1515,696
112,1515,695
113,1515,697
114,1516,695
115,1516,695
116,1516,695
117,1516,696
118,1515,694
119,1515,693
120,1516,695
121,1515,695
122,1514,695
123,1516,693
124,1515,694
125,1515,695
126,1514,695
127,1515,696
128,1515,695
129,1516,695
130,1515,695
131,1515,695
132,1515,693
133,1516,694
134,1514,695
135,1516,695
136,1514,695
137,1516,695
138,1515,693
139,1515,695
140,1516,696
141,1516,694
142,1516,695
143,1516,694
144,1515,694
145,1515,694
146,1515,695
147,1516,694
148,1515,693
149,1516,695
150,1515,694
151,1516,693
152,1515,693
153,1516,693
154,1516,695
155,1516,695
156,1514,695
157,1515,694
158,1515,693
159,1514,694
160,1515,695
161,1514,695
162,1514,695
163,1514,693
164,1516,693
165,1516,694
166,1516,693
167,1515,695
168,1514,694
169,1516,694
170,1516,695
171,1516,693
172,1516,695
173,1515,694
174,1515,695
175,1514,695
176,1515,695
177,1515,695
178,1516,694
179,1516,695
180,1515,697
181,1515,693
182,1516,693
183,1516,695
184,1514,694
185,1514,695
186,1514,694
187,1516,693
188,1515,695
189,1514,694
190,1516,695
191,1516,694
192,1515,695
193,1516,693
194,1515,694
195,1515,693
196,1516,694
197,1516,695
198,1514,695
199,1515,695
200,1515,694
201,1516,693
202,1514,693
203,1516,693
204,1515,696
205,1515,695
206,1516,693
207,1516,693
208,1516,694
209,1514,695
210,1516,696
211,1515,695
212,1516,693
213,1515,695
214,1515,695
215,1516,695
216,1516,695
217,1515,695
218,1514,694
219,1515,695
220,1516,695
221,1515,694
222,1515,693
223,1514,695
224,1515,695
